iter	Accuracy	MultiClass
522	0.98998999	0.173472442
523	0.9901329901	0.1731311944
524	0.9902759903	0.17285977
525	0.9901329901	0.1723328224
526	0.9902759903	0.1716978778
527	0.9902759903	0.1712777379
528	0.9904189904	0.1709916555
529	0.9902759903	0.17045839
530	0.9905619906	0.1701816657
531	0.9904189904	0.1699660644
532	0.9905619906	0.1696502043
533	0.9905619906	0.1693428475
534	0.9907049907	0.1690505503
535	0.9908479908	0.1685531498
536	0.9908479908	0.1683060642
537	0.9908479908	0.1680605313
538	0.9908479908	0.1677708423
539	0.9908479908	0.1675353122
540	0.9907049907	0.1673147919
541	0.9907049907	0.1668732199
542	0.990990991	0.1665134402
543	0.990990991	0.1660453004
544	0.990990991	0.1657516205
545	0.990990991	0.1655232337
546	0.990990991	0.165263446
547	0.9912769913	0.1651144055
548	0.9911339911	0.1649540754
549	0.9912769913	0.1647138347
550	0.9914199914	0.1643425058
551	0.9917059917	0.1639898124
552	0.9915629916	0.1636385595
553	0.9915629916	0.163367966
554	0.9915629916	0.1631230696
555	0.9914199914	0.1627534694
556	0.9914199914	0.1625138998
557	0.9912769913	0.1622634848
558	0.9912769913	0.1620051737
559	0.9914199914	0.16152203
560	0.9917059917	0.1612187713
561	0.9917059917	0.1609302479
562	0.9918489918	0.1603531042
563	0.991991992	0.1601722844
564	0.991991992	0.159961204
565	0.9921349921	0.1595602819
566	0.9921349921	0.1593724024
567	0.9924209924	0.1588874674
568	0.9925639926	0.1583465711
569	0.9925639926	0.1579687055
570	0.9925639926	0.1577948073
571	0.9925639926	0.1576588921
572	0.9925639926	0.157078341
573	0.9925639926	0.1567189918
574	0.9925639926	0.1564158241
575	0.9927069927	0.1560409443
576	0.9928499928	0.1556325542
577	0.9928499928	0.1555369429
578	0.992992993	0.1551448835
579	0.9931359931	0.1548022798
580	0.9932789933	0.1544769925
581	0.9932789933	0.1541800418
582	0.9931359931	0.153667252
583	0.9934219934	0.1533585684
584	0.9934219934	0.1529515158
585	0.9934219934	0.1524693656
586	0.9934219934	0.1520631089
587	0.9935649936	0.1518763565
588	0.9935649936	0.1516544282
589	0.9937079937	0.1512498976
590	0.9937079937	0.1510349476
591	0.9937079937	0.1508261167
592	0.9938509939	0.1504703832
593	0.9938509939	0.150304401
594	0.9938509939	0.1499660611
595	0.9938509939	0.1497346107
596	0.9938509939	0.1496668819
597	0.9938509939	0.149390629
598	0.9938509939	0.1491393684
599	0.993993994	0.1486861166
600	0.993993994	0.1484954087
601	0.993993994	0.1482014269
602	0.993993994	0.1480727813
603	0.9941369941	0.1477252817
604	0.9941369941	0.1475456894
605	0.993993994	0.1473343028
606	0.9941369941	0.1469294135
607	0.9941369941	0.1465705747
608	0.9942799943	0.1463849558
609	0.9941369941	0.1461395904
610	0.9942799943	0.1458312989
611	0.9942799943	0.1456075767
612	0.9941369941	0.1453720905
613	0.9941369941	0.1451455393
614	0.9942799943	0.1448644814
615	0.9944229944	0.1444677601
616	0.9944229944	0.1440993733
617	0.9944229944	0.1438578183
618	0.9945659946	0.1435233922
619	0.9944229944	0.1434266142
620	0.9947089947	0.1431304854
621	0.9947089947	0.1428841449
622	0.9947089947	0.1426875921
623	0.9947089947	0.1423385587
624	0.9947089947	0.1421857743
625	0.9947089947	0.1420123782
626	0.9947089947	0.1416740634
627	0.9947089947	0.1414870139
628	0.9947089947	0.141183528
629	0.9948519949	0.1408401728
630	0.9948519949	0.1405780877
631	0.9947089947	0.1403534641
632	0.9948519949	0.1399850247
633	0.9947089947	0.1397348867
634	0.9948519949	0.1394694984
635	0.994994995	0.1391276424
636	0.994994995	0.1389562186
637	0.994994995	0.1386373878
638	0.994994995	0.1384319439
639	0.994994995	0.1381538034
640	0.9951379951	0.137905405
641	0.9951379951	0.1376265668
642	0.9951379951	0.1374307356
643	0.9951379951	0.1371631892
644	0.994994995	0.1369503682
645	0.994994995	0.1366524978
646	0.9951379951	0.1364010257
647	0.9952809953	0.136005844
648	0.9952809953	0.1356531793
649	0.9952809953	0.1352715696
650	0.9951379951	0.135053837
651	0.9952809953	0.1345561421
652	0.9954239954	0.1342104482
653	0.9954239954	0.1340867497
654	0.9955669956	0.1338906255
655	0.9955669956	0.1335912046
656	0.9952809953	0.133361658
657	0.9954239954	0.1331767542
658	0.9954239954	0.132909696
659	0.9954239954	0.1328068332
660	0.9954239954	0.1325559462
661	0.9954239954	0.1324525961
662	0.9957099957	0.1320413526
663	0.9957099957	0.1318753683
664	0.9957099957	0.1316622676
665	0.9958529959	0.1314365148
666	0.9958529959	0.1313484125
667	0.995995996	0.1311627546
668	0.9958529959	0.1309535382
669	0.9958529959	0.1307554215
670	0.9958529959	0.1306712898
671	0.995995996	0.130460911
672	0.995995996	0.1303415216
673	0.9961389961	0.1300597398
674	0.9962819963	0.129872198
675	0.9964249964	0.1295492301
676	0.9964249964	0.1292428229
677	0.9962819963	0.1290978839
678	0.9962819963	0.1287700473
679	0.9962819963	0.1283803268
680	0.9961389961	0.1280720316
681	0.9962819963	0.1277754121
682	0.9962819963	0.1275604413
683	0.9962819963	0.1273049041
684	0.9962819963	0.1269963065
685	0.9964249964	0.1268540732
686	0.9964249964	0.1265920215
687	0.9964249964	0.1264364365
688	0.9964249964	0.1261576468
689	0.9962819963	0.1259439728
690	0.9964249964	0.1256982835
691	0.9964249964	0.1253856762
692	0.9965679966	0.12507464
693	0.9965679966	0.1249571164
694	0.9967109967	0.1246726585
695	0.9968539969	0.1245178229
696	0.9968539969	0.124292987
697	0.9968539969	0.1240135679
698	0.9967109967	0.1238155155
699	0.9968539969	0.1236974497
700	0.9968539969	0.1233997716
